fila,zona,numero,establecimiento_id,establecimiento,reclamo,rubro,fecha,estado,tarea
131,9,Z9-099,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,CUBIERTA,2026-04-15,finalizado,Limpieza de cubierta perteneciente a ingreso de establecimiento
132,9,Z9-100,381,J.DE INF. FRAY JUSTO SANTA MARIA DE ORO,,PLOMERIA,2026-04-16,finalizado,"Desobstrucción de bachas en sala de jardín, sellar bacha de cocina y reparar pérdida en inodoro."
133,9,Z9-101,375,ESCUELA VICTOR MERCANTE,,PLOMERIA,2026-04-16,finalizado,Cambiar descarga de inodoro de discapacitados
134,9,Z9-102,392,ESCUELA PRESIDENTE RIVADAVIA,,PLOMERIA,2026-04-17,trabajando,Reparar filtración de agua en pared en baño de docentes planta baja que esta causando humedad en las paredes y desprendimiento de cerámicos
135,9,Z9-103,399,ESCUELA TENIENTE GENERAL PABLO RICCHIERI,,PLOMERIA,2026-04-17,finalizado,Cambiar tramo de cañería de agua saliente de tanque el cual se encuentra roto
136,9,Z9-104,376,J.DE INF. PEDRO RUIZ DE GARIBAY,,HERRERIA,2026-04-21,finalizado,"Reparar persianas de madera ubicadas en salas de jardín ya que se cayó taparrollo, se ubican en sala de 5 verde, amarilla y una de sala de 4 naranja"
137,9,Z9-105,401,I.P.E.M. Nº 19 POETA OSCAR GUIÑAZU ALVAREZ,,HERRERIA,2026-04-21,pendiente,Fijar divisores y puertas de baño de mujeres y varones
138,9,Z9-106,386,ESCUELA CORNELIO SAAVEDRA,,HERRERIA,2026-04-21,finalizado,Reparar mástil de establecimiento
139,9,Z9-107,397,J.DE INF. TTE. GRAL. PABLO RICCHIERI,,ALBAÑILERIA,2026-04-21,pendiente,Sellar unión de embudo con cañería de desagüe pluvial en aula aurora
140,9,Z9-108,382,I.P.E.M. Nº 136 DR. ALFREDO L. PALACIOS,,OTROS,2026-04-23,trabajando,"Se solicita la elaboración de un informe estructural por parte de un profesional habilitado, a fin de realizar un diagnóstico del estado de los dinteles de puertas, en virtud de las fisuras detectadas en los muros. Dicho informe deberá evaluar las posibles causas, el grado de compromiso estructural y proponer las medidas correctivas correspondientes."
141,9,Z9-109,388,J.DE INF. MONSEÑOR N. DE ANDREA,,PLOMERIA,2026-04-23,finalizado,Cambiar cañería de agua perteneciente a subida a tanque
142,9,Z9-110,389,ESCUELA PROVINCIA LA RIOJA,,OTROS,2026-04-23,finalizado,Limpiar de rejillas pluviales en patio delantero
143,9,Z9-111,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,CUBIERTA,2026-04-23,finalizado,Sellar canaleta de techo de chapa y verificar el correcto escurrimiento del agua a desague pluvial.
144,9,Z9-112,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,OTROS,2026-04-23,finalizado,NOTIFICACIÓN
145,9,Z9-113,409,ESCUELA HOSPITALARIA ATRAPASUEÑOS,,ALBAÑILERIA,2026-04-23,finalizado,Preparar paredes y pintar baños los cuales presentan humedades ya reparadas
146,9,Z9-114,409,ESCUELA HOSPITALARIA ATRAPASUEÑOS,,HERRERIA,2026-04-23,finalizado,"Sellar canaletas, bajadas pluviales y chapas el cual presenta filtraciones en sala 2 y cocina."
147,9,Z9-115,409,ESCUELA HOSPITALARIA ATRAPASUEÑOS,,HERRERIA,2026-04-23,finalizado,Colocar reja en ventana de ingreso de 1.80x2.45 de iguales características a las existentes.
148,9,Z9-116,407,ESCUELA JUAN DOMINGO PERON,,GAS,2026-04-24,trabajando,"Reparar calefactores de aulas, los mismos no encienden"
149,9,Z9-117,408,J.DE INF. VICEGOBERNADOR ATILIO LOPEZ DE Bº CIUDAD EVITA,,GAS,2026-04-24,trabajando,Reparar terrmotanque
150,9,Z9-118,386,ESCUELA CORNELIO SAAVEDRA,,ELECTRICIDAD,2026-04-24,pendiente,Reparar corto electrico en baños
151,9,Z9-119,406,ESCUELA HEROES DE MALVINAS(EX-S/N BºI.P.V.-CNO.A VILLA POSSE,,PLOMERIA,2026-04-27,finalizado,Reparar perdida constante de agua en el baño de nenas y varones debido a dos mochilas rotas.
152,9,Z9-120,392,ESCUELA PRESIDENTE RIVADAVIA,,PLOMERIA,2026-04-29,finalizado,"Mingitorio descalzado, cambiar fuelle baño varones, dos descargas de mingitorios PA y PB, colocar descarga de baño bacha, fijar minitorio flojo."
153,9,Z9-121,383,ESCUELA 9 DE JULIO,,PLOMERIA,2026-04-29,finalizado,Desobstruir dos inodoros
154,9,Z9-122,385,ESCUELA MONSEÑOR M. DE ANDREA,,PLOMERIA,2026-04-29,pendiente,"Cambiar base de asinto de inodoro baño varones, reparar baño de docentes por perdida en fuelle"
155,9,Z9-123,398,ESCUELA FRAY JUSTO SANTA MARIA DE ORO,,ELECTRICIDAD,2026-04-29,pendiente,Reponer tubos faltantes en pasillo y aulas
156,9,Z9-124,399,ESCUELA TENIENTE GENERAL PABLO RICCHIERI,,ELECTRICIDAD,2026-04-29,pendiente,Colocar luminaria faltante en pasillos y aulas
157,9,Z9-125,403,ESCUELA MADRE MARIA DEL TRANSITO,,PLOMERIA,2026-04-30,pendiente,"Se solicita colocar sobrerete en cocina, desobstruir cámara de inspección perteneciente a patio interno, cambiar tapa de hormigón con marco en cámara de inspección de ingreso lateral y reparar mochilas de baños que se encuentran caidas."
158,9,Z9-126,380,ESCUELA JOSE MARIA BEDOYA,,ALBAÑILERIA,2026-04-30,pendiente,"Demoler piso perteneciente a patio de cisternas (7mx 6,5m) y limpiar patio luego de realizar las tareas."
159,9,Z9-127,409,ESCUELA HOSPITALARIA ATRAPASUEÑOS,,ELECTRICIDAD,2026-04-30,pendiente,Se solicita un oficial electrico y ayudante para colocar dos reflectores con canasto de protección en sector posterior de establecimiento y reparar llaves de luz de baños.
160,9,Z9-128,379,ESCUELA ESTANISLAO DEL CAMPO,,ALBAÑILERIA,2026-04-30,pendiente,"Impermeanilizar parapeto entre cambios de losa en comedor por filtraciones, revocar paredes de baños que se encuentran con con antiguas humedades ya reparadas y pintar sectores afectados."
161,9,Z9-129,379,ESCUELA ESTANISLAO DEL CAMPO,,ALBAÑILERIA,2026-05-30,trabajando,"Cercado perimetral, apuntalamiento e informe técnico"
162,9,Z9-130,389,ESCUELA PROVINCIA LA RIOJA,,ELECTRICIDAD,2026-05-30,trabajando,Elaborar un informe técnico sombre el estado actual del circuito eléctrico en los sectores afectados en planta baja y presupuesto de las tareas a realizar con el fin de garantizar el correcto funcionamiento de los circuitos eléctricos
163,9,Z9-131,410,ESCUELA EXPERIMENTAL CON ENFASIS EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,,ALBAÑILERIA,2026-05-30,finalizado,"Reemplazar los dos desagues pluviales existentes con cañerías de PVC 110, sellar fisuras e impermeabilizar con membrana líquida el techo y parapetos correspondiente a galería de ingreso (59m2)."
