ESTABLECIMIENTOS SIN NUMERO EN COLUMNA C
Archivo fuente: C:\Users\Nazareno\Downloads\LISTADO ESTABLECIMIENTOS - 17 ZONAS  (1).xlsx
Hoja: ESTABLECIMIENTOS
Total encontrados: 130

Fila 455 | C='' | Zona 10.0 | N° 38.0 | CENMA PROFESORA MARÍA SALEME DE BURNICHÓN SEDE B° VILLA REVOL | CUE 140333407.0 | AV. MADRID 2570 | VILLA REVOL
Fila 456 | C='' | Zona 10.0 | N° 39.0 | ESCUELA NOCTURNA FRAY MAMERTO ESQUIU | CUE 140395100.0 | Pje. ERNESTO GUASTONI 3472 | BRIGADIER SAN MARTIN
Fila 457 | C='' | Zona 10.0 | N° 40.0 | CENMA CORRAL DE PALOS | CUE 140331000.0 | Pje. ERNESTO GUASTONI 3472 | CORRAL DE PALOS
Fila 458 | C='' | Zona 10.0 | N° 41.0 | CENMA N° 151 | CUE 140395000.0 | LA CORUÑA Y MONSERRAT | CRISOL SUR
Fila 459 | C='' | Zona 10.0 | N° 42.0 | CENMA Nº 111 ANEXO ATILIO LOPEZ | CUE 140288211.0 | SANTIAGO MORALES 4400 | FERREYRA
Fila 460 | C='' | Zona 10.0 | N° 43.0 | CENMA N° 125 ANEXO B° ITUZAINGO | CUE 140429303.0 | STEPHENSON Y FULTON | ITUZAINGO
Fila 461 | C='' | Zona 10.0 | N° 44.0 | ESCUELA NOCTURNA PADRE GRENON | CUE 140021700.0 | STEPHENSON Y FULTON | ITUZANGO
Fila 498 | C='' | Zona 11.0 | N° 37.0 | ESCUELA NOCTURNA ANTARTIDA ARGENTINA EXT. AULICA B° CORONEL OLMEDO | CUE 140015503.0 | Alfonso Muñecas y Victoria | CORONEL OLMEDO
Fila 499 | C='' | Zona 11.0 | N° 38.0 | CENMA N° 111 Anexo Ciudad de Mis Sueños | CUE 140288205.0 | RUTA 9 SUR - KM 691 | PARQUE ITUZAINGO
Fila 500 | C='' | Zona 11.0 | N° 39.0 | CENMA N° 111 ANEXO B° AMPLIACION FERREYRA | CUE 140288210.0 | Juan Ramón Rojas S/N esq 8 | Ampliación Ferreyra
Fila 501 | C='' | Zona 11.0 | N° 40.0 | ESCUELA NOCTURNA SAN LORENZO | CUE 140335200.0 | Calle Púb s/nombre | CIUDAD DE MIS SUEÑOS
Fila 502 | C='' | Zona 11.0 | N° 41.0 | CENMA N° 151 ANEXO B° CERVECEROS | CUE 140395002.0 | RAMON VILLAFAÑE 2900 | CERVECERO
Fila 503 | C='' | Zona 11.0 | N° 42.0 | CENMA N° 111 ANEXO B° JARDIN | CUE 140288209.0 | Pedro Luis de Cabrera 3070 | Jardín
Fila 504 | C='' | Zona 11.0 | N° 43.0 | CENMA N° 111 ANEXO B° OÑA | CUE 140288213.0 | Amboy esq Olaen 3230 | OÑA
Fila 505 | C='' | Zona 11.0 | N° 44.0 | INSTITUTO SUPERIOR CARLOS A. LEGUIZAMON | CUE 140283800.0 | AV. CONCEPCION ARENAL 1177 | ROGELIO MARTINEZ
Fila 506 | C='' | Zona 12.0 | N° 1.0 | CENMA N° 70 OBISPO ANGELELLI | CUE 140061802.0 | Calle publica altura: | CIUDAD OBISPO ANGELELLI
Fila 543 | C='' | Zona 12.0 | N° 38.0 | ESCUELA NOCTURNA PAULA ALBARRACIN VILLA OBISPO ANGELELLI | CUE  | Con San Antonio km 8 1/2  | VILLA ANGELLELI
Fila 544 | C='' | Zona 12.0 | N° 39.0 | CENMA N° 70 ANEXO BARRIO CIUDAD OBISPO ANGELELLI | CUE  | CAMINO SAN ANTONIO KM 8 1/2 | ANGELELLI
Fila 545 | C='' | Zona 12.0 | N° 40.0 | CENMA CORONEL OLMEDO | CUE  | ldelfonso Muñecas y Victorica | CORONEL OLMEDO
Fila 546 | C='' | Zona 12.0 | N° 41.0 | CENMA DEAN FUNES EXT AULICA BARRIO KENNEDY | CUE  | RIMINI 626 | Kennedy
Fila 547 | C='' | Zona 12.0 | N° 42.0 | ESCUELA NOCTURNA LUIS MARIA DRAGO EXT. AUL. ARTURO ILLIA | CUE  | RIMINI 626 | KENNEDY
Fila 548 | C='' | Zona 12.0 | N° 43.0 | ESCUELA NOCTURNA PAULO FREIRE ANEXO III | CUE  | Obispo Trejo 736 | NUEVA CORDOBA
Fila 549 | C='' | Zona 12.0 | N° 44.0 | CENMA ALEJANDRO CARBO | CUE  | TOTORAL Y RIO GRANDE | RESIDENCIAL SANTA ROSA
Fila 586 | C='' | Zona 13.0 | N° 37.0 | ESCUELA NOCTURNA CIUDAD DE BUENOS AIRES EXT AUL VICENTE FORESTIERI | CUE 140398101.0 | RIO NEGRO 5800 | VILLA EL LIBERTADOR
Fila 587 | C='' | Zona 13.0 | N° 38.0 | CENMA Nº 125 ANEXO Bº IRUPE | CUE 140429302.0 | NIZA ESQ. OSTIA | IRUPE
Fila 588 | C='' | Zona 13.0 | N° 39.0 | ESCUELA NOCTURNA CIUDAD DE BUENOS AIRES | CUE 140398100.0 | DEFENSA Y CACHEUTA | VILLA LIBERTADOR
